0.002,0.003,0.01,0.6,0.115,275,243,228 
0.002,0.003,0.01,0.6,0.12,275,243,228 
0.002,0.003,0.01,0.6,0.125,274,243,228 
0.002,0.003,0.01,0.6,0.13,274,243,228 
0.002,0.003,0.01,0.6,0.135,274,242,228 
0.002,0.003,0.01,0.65,0.115,275,243,228 
0.002,0.003,0.01,0.65,0.12,274,243,228 
0.002,0.003,0.01,0.65,0.125,274,243,228 
0.002,0.003,0.01,0.65,0.13,274,242,228 
0.002,0.003,0.01,0.65,0.135,274,242,228 
0.002,0.003,0.01,0.75,0.115,275,243,228 
0.002,0.003,0.01,0.75,0.12,275,243,228 
0.002,0.003,0.01,0.75,0.125,274,243,227 
0.002,0.003,0.01,0.75,0.13,274,243,227 
0.002,0.003,0.01,0.75,0.135,275,242,227 
0.002,0.003,0.01,0.8,0.115,275,243,228 
0.002,0.003,0.01,0.8,0.12,275,243,228 
0.002,0.003,0.01,0.8,0.125,274,243,227 
0.002,0.003,0.01,0.8,0.13,274,243,227 
0.002,0.003,0.01,0.8,0.135,274,242,227 
0.002,0.003,0.01,0.85,0.115,275,243,228 
0.002,0.003,0.01,0.85,0.12,275,243,228 
0.002,0.003,0.01,0.85,0.125,274,243,227 
0.002,0.003,0.01,0.85,0.13,274,243,227 
0.002,0.003,0.01,0.85,0.135,274,242,227 
0.002,0.02,0.01,0.6,0.115,267,232,206 
0.002,0.02,0.01,0.6,0.12,267,232,206 
0.002,0.02,0.01,0.6,0.125,267,231,206 
0.002,0.02,0.01,0.6,0.13,267,231,206 
0.002,0.02,0.01,0.6,0.135,267,231,207 
0.002,0.02,0.01,0.65,0.115,267,231,206 
0.002,0.02,0.01,0.65,0.12,267,231,206 
0.002,0.02,0.01,0.65,0.125,267,231,207 
0.002,0.02,0.01,0.65,0.13,268,231,208 
0.002,0.02,0.01,0.65,0.135,267,231,208 
0.002,0.02,0.01,0.75,0.115,267,231,206 
0.002,0.02,0.01,0.75,0.12,267,231,206 
0.002,0.02,0.01,0.75,0.125,267,231,206 
0.002,0.02,0.01,0.75,0.13,267,231,208 
0.002,0.02,0.01,0.75,0.135,267,231,208 
0.002,0.02,0.01,0.8,0.115,268,232,207 
0.002,0.02,0.01,0.8,0.12,268,232,207 
0.002,0.02,0.01,0.8,0.125,268,231,207 
